Natural,GEMORNA,CAI-optimized,LinearDesign (lambda=1),Random
-0.338629273982062,-0.37881619462343,-0.349221179047106,-0.665420579761729,-0.268847361531956
-0.230894300672743,-0.321680208531821,-0.338211390384165,-0.618699195262214,-0.252303518900057
-0.285897442418284,-0.423717955238797,-0.393589737068893,-0.65128202519865,-0.276495713454026
-0.363157885813573,-0.461111102187842,-0.40701753493638,-0.717836257309942,-0.310818722373559
-0.384018257872699,-0.413698623169503,-0.344748858447489,-0.608219164147224,-0.233789957821641
-0.201449269833772,-0.36231884057971,-0.359782619752746,-0.634420311969257,-0.262318846108257
-0.287499995458693,-0.377380961463565,-0.258333342415946,-0.613690467107863,-0.244642848060244
-0.330452687455793,-0.470781899283449,-0.43456789495523,-0.764609066056613,-0.328806590641477
-0.334032641146287,-0.400233093119445,-0.347785540671893,-0.721212106984811,-0.297902105015751
-0.470503589803938,-0.530935237161832,-0.504556340279338,-0.849160686099556,-0.346762604564784
-0.32254903456744,-0.383333318373736,-0.441666659186868,-0.690686244590608,-0.232352948656269
-0.307926829268293,-0.409146347666173,-0.374390237699679,-0.672967492080315,-0.300813008130081
-0.25177778455946,-0.343333333333333,-0.287111104329427,-0.582666693793402,-0.224000006781682
-0.402645494572069,-0.483862417715566,-0.436772502919352,-0.705555587849288,-0.313492063492064
-0.287254894480985,-0.402941161510991,-0.383823544371362,-0.630392186781936,-0.27843136880912
-0.45909089753122,-0.554545431426076,-0.472727284286958,-0.760606072165746,-0.305303024523186
-0.320907291811128,-0.380078889444264,-0.360157802965513,-0.611637092906341,-0.251084818642519
-0.373958322736951,-0.463194423251681,-0.375347216924031,-0.670486132303871,-0.259027772479587
-0.205882352941177,-0.338480407116458,-0.30686273761824,-0.572058808569814,-0.227941176470588
-0.271865448091373,-0.381039750685385,-0.350764516661291,-0.596024446166618,-0.268807344115838
-0.308239711804336,-0.194007487779253,-0.353183532029055,-0.655430711610487,-0.277902610293042
-0.301646103093654,-0.380658436213992,-0.355555561834893,-0.639917695473251,-0.272839518731514
-0.247222219194685,-0.346031733921596,-0.301190482245551,-0.567063467843191,-0.267460323515392
-0.295128201215695,-0.370256394606369,-0.372820497170472,-0.66025641025641,-0.297179491091995
-0.45705130161383,-0.473076942639471,-0.413782070844599,-0.675961518898987,-0.275000009781275
-0.338494610530073,-0.489892479681198,-0.372688178605929,-0.689247311827957,-0.294193554950015
-0.28565120065449,-0.369536410367514,-0.306622503082746,-0.620309050772627,-0.233995584988962
-0.329230753580728,-0.42999999217498,-0.401794863969851,-0.628717940892928,-0.237179487179487
-0.22671568627451,-0.320833318373735,-0.285784309985591,-0.699264675963157,-0.249509811401365
-0.225454542371962,-0.176767676767677,-0.293939393939394,-0.577171741832386,-0.248888882723721
-0.356115107913669,-0.351318944844125,-0.316546762589928,-0.568345323741007,-0.238848917204127
-0.359036150706339,-0.350000006128026,-0.343373493975904,-0.651004040576368,-0.23975903920859
-0.288775515394146,-0.405442166490619,-0.38061225008802,-0.705102051196452,-0.264965991584622
-0.394907421535916,-0.529166680795171,-0.40648149560999,-0.75,-0.28981480775056
-0.128745105219822,-0.0771372552011525,-0.187058826521331,-0.475686286477478,-0.153411760517195
-0.303007522621248,-0.399248127949266,-0.366416032451734,-0.664411042865952,-0.255639097744361
-0.209114591280619,-0.317187507947284,-0.354166666666667,-0.588020841280617,-0.229947924613953
-0.284699445213776,-0.375956300829278,-0.346994535519126,-0.671038268042388,-0.293442627119887
-0.336633663366337,-0.385478557926591,-0.372607265761974,-0.681188098668264,-0.21848183811301
-0.310622721801311,-0.334432245610834,-0.362637362637363,-0.648351648351648,-0.346520140930847
-0.268354423941439,-0.49789029535865,-0.416877650007417,-0.76244724450735,-0.305063304015856
-0.419086005098075,-0.472580653364938,-0.424193556590745,-0.762903192991849,-0.313440856113228
-0.321774185344737,-0.41290324221375,-0.345967733731833,-0.651612886818505,-0.302956981043661
-0.335947722391363,-0.470588235294118,-0.44281045751634,-0.686274509803922,-0.291503258000791
-0.266371690418165,-0.377876124199159,-0.291740417480469,-0.677581111941717,-0.226843662318227
-0.165686270769904,-0.114705880482991,-0.247549019607843,-0.469117632099226,-0.196568619971181
-0.235915492957746,-0.383098584385545,-0.364084521369754,-0.573239429455967,-0.254460097478587
-0.558543400270263,-0.733893557422969,-0.613165249009759,-0.917366946778711,-0.347619043344877
-0.209523816129346,-0.380086593297653,-0.360173146962087,-0.596103882892823,-0.24718614058061
-0.332258053577929,-0.371684576875419,-0.376702503491473,-0.60358420751428,-0.272043016221788
-0.295283023666286,-0.354088045516104,-0.302830198275968,-0.645283009271201,-0.267924518705164
-0.238620696670706,-0.36827585505343,-0.325057457233297,-0.571724130915499,-0.262758627705189
-0.282638885356762,-0.397916652538157,-0.32569443738019,-0.612268518518519,-0.272222218690095
-0.297455474620555,-0.405089050758886,-0.375826964244891,-0.621119608405891,-0.292620865139949
-0.131249997350904,-0.0840277804268729,-0.190277775128682,-0.425694439146253,-0.133333338631524
-0.30205761944806,-0.391769534766428,-0.37263375741464,-0.680864184972189,-0.272839518731512
-0.14888889171459,-0.0555555555555556,-0.193333336159035,-0.394814809163411,-0.0948148162276652
-0.267091301596087,-0.439065823889081,-0.398301499158206,-0.670912951167728,-0.289596590013767
-0.364102564102564,-0.442564118214141,-0.377435889610877,-0.699743574093549,-0.282307688395182
-0.339227629870902,-0.40630080060261,-0.384552839325695,-0.720731719722592,-0.334146329057894
-0.383882795061381,-0.520512842870018,-0.465201465201465,-0.727472549829725,-0.315018315018315
-0.250118210524248,-0.371394813483487,-0.349881796690307,-0.651536657455118,-0.25791961814213
-0.300466186238891,-0.157808850695203,-0.327972020858373,-0.570862456635161,-0.286946383389559
-0.252222216570819,-0.344074079725477,-0.331481481481482,-0.635925914623119,-0.244444444444444
-0.396728016359918,-0.523517382413088,-0.457464206438123,-0.794887550525626,-0.366666672907479
